Genre1;Genre
Literatura Fantasy;Irodalom > Szórakoztató irodalom > Fantasy
Carti de colorat;Gyermek- és ifjúsági > Kifestők, foglalkoztatók
Manuale Clasa 9;Tankönyv, segédkönyv > 5-12 évfolyam
Sarcina;Életmód, egészség > Gyermekek és szülők > Terhesség és szülés
Romane Nordic Noir;Irodalom > Szórakoztató irodalom > Krimi
Finante Banci;Társadalomtudomány > Közgazdaság > Pénzügy
Geografie Topografie;Természettudomány > Földrajz
Eseistica;Irodalom > Irodalomtörténet > Esszé
Literatura turca;Irodalom > Szépirodalom > Próza > Világirodalom
Literatura portugheza;Irodalom > Szépirodalom > Próza > Világirodalom
Romane istorice;Irodalom > Szépirodalom > Történelmi regények
Educatie Psihologie;Tankönyv, segédkönyv > 5-12 évfolyam
Enciclopedii Copii;Szakkönyv > Lexikon, enciklopédia
Chiromantie;Életmód, egészség > Ezotéria
Romane Fantasy;Irodalom > Szórakoztató irodalom > Fantasy
Management;Társadalomtudomány > Közgazdaság
Contabilitate;Társadalomtudomány > Közgazdaság > Adózás, könyvvitel
Literatura ceha;Irodalom > Szépirodalom > Próza > Világirodalom
Citate;Irodalom > Irodalomtörténet
Reviste;Társadalomtudomány > Média
Literatura spaniola;Irodalom > Szépirodalom > Próza > Világirodalom
Kabala;Életmód, egészség > Ezotéria
Fabule;Gyermek- és ifjúsági > Mesekönyvek
Enciclopedii;Szakkönyv > Lexikon, enciklopédia
Romane mitologice si istorice;Irodalom > Szépirodalom > Történelmi regények
Carti cu CD;Művészet > Zene
Hardware;Szakkönyv > Informatika > Hardver
Carti horror;Irodalom > Szórakoztató irodalom > Thriller, horror
Carti de joc educative;Gyermek- és ifjúsági > Kifestők, foglalkoztatók
Literatura poloneza;Irodalom > Szépirodalom > Próza > Világirodalom
Umor;Irodalom > Szórakoztató irodalom > Humoros
Invatatura Ortodoxa;Vallás > Kereszténység
Literatura chiliana;Irodalom > Szépirodalom > Próza > Világirodalom
Carti 3D;Művészet
Literatura austriaca;Irodalom > Szépirodalom > Próza > Világirodalom
Clasa Pregatitoare;Tankönyv, segédkönyv > Óvoda
Carti cu abtibilduri;Gyermek- és ifjúsági > Kifestők, foglalkoztatók
Statistica;Természettudomány > Matematika > Valószínűségszámítás, statisztika
Literatura rusa;Irodalom > Szépirodalom > Próza > Világirodalom
Fictiune;Irodalom > Szépirodalom
Marketing;Társadalomtudomány > Közgazdaság
Jurnale;Irodalom > Irodalomtörténet > Levelezés
Literatura canadiana;Irodalom > Szépirodalom > Próza > Világirodalom
Literatura germana;Irodalom > Szépirodalom > Próza > Világirodalom
Calendare;Egyéb
Carti politiste;Irodalom > Szórakoztató irodalom > Krimi
Caiete de Vacanta;Tankönyv, segédkönyv
Carti erotice;Erotika > Irodalom
Carti In Maghiara;Irodalom > Szépirodalom > Próza > Magyar irodalom
Fotografie;Művészet > Fotó
Romane inspirate de Holocaust;Irodalom > Szépirodalom > Történelmi regények
Literatura columbiana;Irodalom > Szépirodalom > Próza > Világirodalom
