Publisher;Publisher_Std
Multiverzum Kiadó;multiverzum kiado
Pythia Kiadó;pythia kiado
SZÉPIRODALMI FIGYELŐ ALAPÍTVÁNY;szepirodalmi figyelo alapitvany
NewLine Kiadó;newline kiado
Századvég Közéleti Tudásközpont;szazadveg kozeleti tudaskozpont
Jelenkor Kiadó;jelenkor kiado
Szofi Press Publishing;szofi press publishing
HVG Kiadói Rt.;hvg kiadoi rt
Abstract Man's Studio;abstract mans studio
ELTE PPK Tanárképzési és -továbbkép;elte ppk tanarkepzesi es tovabbkep
Grand Prix Consulting Kft.;grand prix consulting kft
CSAK DESIGN KÖR EGYESÜLET;csak design kor egyesulet
NAP KIADÓ - DUNASZERDAHELY;nap kiado  dunaszerdahely
RUBICON-HÁZ KFT.;rubiconhaz kft
Player Media Kft.;player media kft
Tortoma Kiadó;tortoma kiado
Könyvpont Kiadó;konyvpont kiado
RETÖRKI;retorki
Line Design Kft.;line design kft
KOCSIS KIADÓ ZRT;kocsis kiado zrt
Magyar Nemzeti Múzeum;magyar nemzeti muzeum
VÁRKAPITÁNYSÁG NONPROFIT KFT;varkapitanysag nonprofit kft
Oander;oander
Kopp Mária Intézet a Népesedésért;kopp maria intezet a nepesedesert
Múlt-Kor Kultúrális Alapítvány;multkor kulturalis alapitvany
G-ADAM STÚDIÓ KFT;gadam studio kft
PIM-Polis Könyvkiadó;pimpolis konyvkiado
Hét Krajcár Kiadó;het krajcar kiado
Olvasni Menő Kiadó;olvasni meno kiado
Schöck ArtPrint Kft.;schock artprint kft
MCC Press Kft.;mcc press kft
KT Kiadó;kt kiado
Théâtre le Levain-Bp.-i Teleki Téka;theatre le levainbpi teleki teka
ŐS-KÉP KIADÓ;oskep kiado
LittleFox Kiadó;littlefox kiado
Piroska Gyula Tréning Kft.;piroska gyula trening kft
Peregrinus;peregrinus
TKK Kereskedelmi Kft.;tkk kereskedelmi kft
Pannonhalmi Főapátság;pannonhalmi foapatsag
Infinite Media Kft.;infinite media kft
Magyar Nyugat Könyvkiadó;magyar nyugat konyvkiado
Pintér Tamás;pinter tamas
Helikon Kiadó;helikon kiado
Central Könyvek;central konyvek
Magyar PEN Club;magyar pen club
Studium Bt.;studium bt
Mediarey Hungary Services KFT.;mediarey hungary services kft
TRUBADÚR KÖNYVEK KIADÓ KFT;trubadur konyvek kiado kft
Open Books;open books
Főnix Könyvműhely;fonix konyvmuhely
Seminar Consulting Kft.;seminar consulting kft
WALLENBERG EGYESÜLET;wallenberg egyesulet
Nyom6 Kiadó;nyom6 kiado
