Publisher;Publisher_Std
Magyar Gasztronómiai Egyesület;magyar gasztronomiai egyesulet
Vigilia Kiadó;vigilia kiado
Tóth Könyvkereskedés;toth konyvkereskedes
Fröhlich és Társai Kft.;frohlich es tarsai kft
Eötvös József Könyvkiadó;eotvos jozsef konyvkiado
Napsugár és Holdsugár Kiadó;napsugar es holdsugar kiado
glcMEDIA Kft.;glcmedia kft
NORAN;noran
Kelet Kiadó;kelet kiado
Rézbong Kiadó;rezbong kiado
Históriaantik Könyvesház;historiaantik konyveshaz
LÉLEKBEN OTTHON KIADÓ;lelekben otthon kiado
FHL Kft.;fhl kft
DFT-HUNGÁRIA LAPKIADÓ KFT.;dfthungaria lapkiado kft
Nemzeti Örökség Kiadó;nemzeti orokseg kiado
KOINÓNIA;koinonia
Pesti Könyv Kiadó;pesti konyv kiado
Balance Rief SA Kiadó;balance rief sa kiado
Időjel Kiadó;idojel kiado
Maximus Kiadó;maximus kiado
Minerva Kiadó;minerva kiado
Inda Press Kft.;inda press kft
Hibiszkusz Könyvkiadó;hibiszkusz konyvkiado
JCS MÉDIA KFT.;jcs media kft
TOPOGRÁF KIADÓ;topograf kiado
Lingea Kft.;lingea kft
Dunaholding;dunaholding
Könyv Guru;konyv guru
Dénes Natur Műhely Kiadó;denes natur muhely kiado
TAKTIK Vydavateµstvo;taktik vydavatestvo
Trefort Kiadó;trefort kiado
JLX Kiadó;jlx kiado
MyMarketing.hu Kft;mymarketinghu kft
Kiskapu Kft.;kiskapu kft
ELTE PPK Tanárképzési és -továbbkép;elte ppk tanarkepzesi es tovabbkep
KATICA KÖNYVMŰHELY;katica konyvmuhely
Aksjomat;aksjomat
Kolibri Kiadó;kolibri kiado
Lexika Kiadó;lexika kiado
Business Publishing Services Kft.;business publishing services kft
Lélekben Otthon Közhasznú Alapít;lelekben otthon kozhasznu alapit
Szukits Könyvkiadó;szukits konyvkiado
Hajja és Fiai Kiadó;hajja es fiai kiado
MARK-VILL Kft.;markvill kft
NORBI WELNESS MÉDIA KFT.;norbi welness media kft
Németh&Németh Kiadó;nemethnemeth kiado
Jog az Egészséghez Közhasznú Egyesület;jog az egeszseghez kozhasznu egyesulet
Trend Kiadó;trend kiado
Pedellus Tankönyvkiadó;pedellus tankonyvkiado
NEMZETI KULTURÁLIS ÖRÖKSÉG;nemzeti kulturalis orokseg
Kocsis Kiadó;kocsis kiado
MTA Bölcsészettudományi Kutatóközpont;mta bolcseszettudomanyi kutatokozpont
Magyar Házak Nonprofit Zrt.;magyar hazak nonprofit zrt
Fornebu Tanácsadó Bt.;fornebu tanacsado bt
Pauz-Westermann Kiadó;pauzwestermann kiado
Szent Mauríciusz Monostor - Ab Ovo;szent mauriciusz monostor  ab ovo
Grafo Kiadó;grafo kiado
Varázsládika Kiadó;varazsladika kiado
Zazie Books Kft.;zazie books kft
Erdélyi Szalon-IAT Kiadó;erdelyi szaloniat kiado
GEORGIUS MED KFT;georgius med kft
Bonyvolt Kft.;bonyvolt kft
OOK PRESS;ook press
HCL;hcl
Savaria University Press;savaria university press
Aquila Könyvkiadó;aquila konyvkiado
Lélek és Test;lelek es test
EZOTERIKUS NETREND KFT;ezoterikus netrend kft
Lárky Bt.;larky bt
Lábnyom Kiadó;labnyom kiado
RAFINANZ HOME ENTERTAINMENT KFT;rafinanz home entertainment kft
Edu és Judy Bt.;edu es judy bt
Magyar Könyvklub;magyar konyvklub
Gingko Kiadó Kft.;gingko kiado kft
VIVANDRA KFT;vivandra kft
Magyar Jeti Zrt.;magyar jeti zrt
ASTANGAJÓGA Alapítvány;astangajoga alapitvany
Oldtimer Média Kft.;oldtimer media kft
ENTER Studio 98 Bt.;enter studio 98 bt
Okker Kiadó;okker kiado
VTV Stúdió;vtv studio
