Author;Author_Std
Ernest Bernea;ernest bernea
P.R. Morrison;pr morrison
Flavio Floriani;flavio floriani
Rupert Sheldrake;rupert sheldrake
Henry B. Lin;henry b lin
Harold M. Best;harold m best
Sfantul Ioan Gura de Aur;sfantul ioan gura de aur
Eugen Lozovan;eugen lozovan
Raymond Bernard;raymond bernard
Monahia Siluana Vlad;monahia siluana vlad
Swami Shivananda;swami shivananda
R.A. Torrey;ra torrey
Rodica Racovita, Radu Moraru, Elena Racovita, Viola Lengyel;rodica racovita radu moraru elena racovita viola lengyel
Mircea Fianu;mircea fianu
Denisa Dumitrescu, Camelia Stecoza, Elena Hatieganu;denisa dumitrescu camelia stecoza elena hatieganu
Raimon Panikkar;raimon panikkar
Adriana Albu, Tiberiu Leonard Vlad, Ioan Iacob, Constantin Albu;adriana albu tiberiu leonard vlad ioan iacob constantin albu
Rodica Nagy;rodica nagy
Alessandra Buronzo;alessandra buronzo
William Blake;william blake
Octavia Costea;octavia costea
Nicolae Neaga, Mircea Chialda, Vladimir Prelipcean, Gheorghe Barna;nicolae neaga mircea chialda vladimir prelipcean gheorghe barna
Sorin Pribac;sorin pribac
Octavian Simu;octavian simu
Livia Iacob;livia iacob
Luigi Pirandello;luigi pirandello
Michael Scheuer;michael scheuer
I. Oprisan;i oprisan
Ruth Hobart;ruth hobart
Ioan Oprea;ioan oprea
Stelian Dumistracel;stelian dumistracel
Adrian-Silvan Ionescu;adriansilvan ionescu
Geoffrey Hoppe;geoffrey hoppe
Ionela Alan;ionela alan
Charles-Olivier Carbonell;charlesolivier carbonell
Dan Moruzi;dan moruzi
Gheorghe Sarau;gheorghe sarau
Janette Oke;janette oke
Teodor Cios;teodor cios
Paul Lawrence;paul lawrence
Nicholas Reeves;nicholas reeves
Mihai Pricop;mihai pricop
Brigitte Flourez;brigitte flourez
Iordan Datcu;iordan datcu
Ciprian Chirvasiu;ciprian chirvasiu
Martin Manser;martin manser
Ion Gh. Stanciu;ion gh stanciu
Sam Giancana, Bettina Giancana;sam giancana bettina giancana
Cornel Taranu;cornel taranu
Adrian Marin;adrian marin
Laurentiu P. Maricutoiu;laurentiu p maricutoiu
Mihaela Singer;mihaela singer
Reinhard Bonnke;reinhard bonnke
Gheorghe Diculescu Neagoe;gheorghe diculescu neagoe
Hadrian Soare, Gheorghe Soare;hadrian soare gheorghe soare
Toader Chifu;toader chifu
Denis Buican;denis buican
Alexei Marinat;alexei marinat
Stefano Apuzzo, Monica D'Ambrosio;stefano apuzzo monica dambrosio
Victoria Pasecinic;victoria pasecinic
Izabela Nicoleta Dinu;izabela nicoleta dinu
Inesa Tiporkina;inesa tiporkina
Luis Garcia Jambrina;luis garcia jambrina
Max Geneve;max geneve
Alberto Moravia;alberto moravia
Aurel Hasnes-Ciurdariu;aurel hasnesciurdariu
John D. Krumboltz, Al S. Levin;john d krumboltz al s levin
Sue Mchale, Nigel Hunt;sue mchale nigel hunt
Heidi Toffler, Alvin Toffler;heidi toffler alvin toffler
Jean Ziegler;jean ziegler
Kevin Hogan, Mary Lee Lebay;kevin hogan mary lee lebay
Mark R. Dambro;mark r dambro
Ioan Barbu;ioan barbu
Fabien Ouaki, Dalai Lama;fabien ouaki dalai lama
Florentina Chirtes, Dana Piciu, Dumitru Busneag;florentina chirtes dana piciu dumitru busneag
Andrei Ionescu;andrei ionescu
Adrian Sangeorzan;adrian sangeorzan
Viorica Preda;viorica preda
Ursula Breuel, Corina Florescu, Cristina Niculiu, Maria Weber Lipan;ursula breuel corina florescu cristina niculiu maria weber lipan
Leon Magdan;leon magdan
Claudiu Voda;claudiu voda
William Shakespeare;william shakespeare
Ieromonahul Benedict Aghioritul;ieromonahul benedict aghioritul
Laura Mara Culea;laura mara culea
Sfantul Dimitrie Al Rostovului;sfantul dimitrie al rostovului
Smaranda Sburlan;smaranda sburlan
Stefan Voda, Claudiu Voda;stefan voda claudiu voda
Barbu Stefanescu Delavrancea;barbu stefanescu delavrancea
Marius Sorin Zaharia;marius sorin zaharia
Alexandru Vlahuta;alexandru vlahuta
Michel Gurfinkiel;michel gurfinkiel
Maria Onaca;maria onaca
C.Th. Ciobanu;cth ciobanu
Teo Moldovan;teo moldovan
Petre Tanasoaica;petre tanasoaica
Rhonda Byrne;rhonda byrne
Tudor Musatescu;tudor musatescu
Paramahansa Yogananda;paramahansa yogananda
Adina Popescu;adina popescu
Doreen Virtue;doreen virtue
Liviu Rebreanu;liviu rebreanu
Kostache Negruzzi, Mihail Kogalniceanu;kostache negruzzi mihail kogalniceanu
Soren Kierkegaard;soren kierkegaard
Masaru Emoto;masaru emoto
Savatie Bastovoi;savatie bastovoi
Elena Comsulea, Valentina Serban, Sabina Teius;elena comsulea valentina serban sabina teius
Dumitru Staniloae;dumitru staniloae
A. Ralph Epperson;a ralph epperson
Geanta Manoliu;geanta manoliu
Ioan Petru Culianu, Mircea Eliade;ioan petru culianu mircea eliade
Simeon Kraiopoulos;simeon kraiopoulos
Maria Grazia Carini;maria grazia carini
Arsenie Papacioc;arsenie papacioc
Charles Capps;charles capps
Serafim Alexiev;serafim alexiev
Henry Gilbert;henry gilbert
Mihail Rosu, Niculina Ilarion;mihail rosu niculina ilarion
Olga Cosovan, Tatiana Cartaleanu, Elena Cartaleanu;olga cosovan tatiana cartaleanu elena cartaleanu
Esther Hicks, Jerry Hicks;esther hicks jerry hicks
Isaac Sirul;isaac sirul
Leonard Mlodinow, Stephen Hawking;leonard mlodinow stephen hawking
Ion Tudor;ion tudor
Maria Marcela Meraru;maria marcela meraru
James Fenimore Cooper;james fenimore cooper
Ovidiu;ovidiu
Filofteia Grama, Mioara Pletea;filofteia grama mioara pletea
Philip Carter, Ken Russell;philip carter ken russell
Lucio Pippa, Massimo Muccioli, Bao Tian Fu;lucio pippa massimo muccioli bao tian fu
Laurentiu-Ciprian Tudor;laurentiuciprian tudor
Paco Underhill;paco underhill
Lucian Sauleanu, Sebastian Raduletu;lucian sauleanu sebastian raduletu
Arhimandrit Vasilios;arhimandrit vasilios
Titu Maiorescu;titu maiorescu
Marina Muresanu-Ionescu;marina muresanuionescu
Mick Sinclair;mick sinclair
Steve Bradley;steve bradley
Rosamunde Pilcher;rosamunde pilcher
Iustina Mirescu, Olivia Campean;iustina mirescu olivia campean
Jill Eckersley;jill eckersley
L.P. Da Legnano;lp da legnano
Chloe Delaume;chloe delaume
Raymond Radiguet;raymond radiguet
Jill Konrath;jill konrath
Octavian Mandrut;octavian mandrut
Paulina Popa;paulina popa
Silviu Constantinescu;silviu constantinescu
C. Manolache;c manolache
Ioana Costache;ioana costache
Val Gheorghiu;val gheorghiu
Maria Bojneag;maria bojneag
Max Lucado;max lucado
Nicolae Velimirovici;nicolae velimirovici
Johann Wolfgang Von Goethe;johann wolfgang von goethe
Mircea Agabrian;mircea agabrian
Rodica Jeican;rodica jeican
Emil Garleanu;emil garleanu
George Lazarescu;george lazarescu
Roselyne Febre;roselyne febre
Albes Andreas;albes andreas
Hockney David;hockney david
Lavinia Lala;lavinia lala
Claudia Julea, Emilia Hutan;claudia julea emilia hutan
Nicolae Suciu, D. Duca, I. Purdea, O. Pop, Ioan Muresanu, D. Cosic;nicolae suciu d duca i purdea o pop ioan muresanu d cosic
Ioan Vancea;ioan vancea
Paola Traverso;paola traverso
T.W. Sadler;tw sadler
Emilia Hutan, Claudia Julea;emilia hutan claudia julea
Anna Nilsen;anna nilsen
Ion Proca;ion proca
Ion Podosu;ion podosu
Vera Cowie;vera cowie
Celeste Bradley;celeste bradley
Valeriu Rusu;valeriu rusu
Susan Elliot-Wright;susan elliotwright
Elisabeta Voiculescu;elisabeta voiculescu
Fulop Mihaly;fulop mihaly
Evgheni Evtusenko;evgheni evtusenko
Wolfgang Wallner;wolfgang wallner
Ana Maria Dobre, Ramona Coman;ana maria dobre ramona coman
Ioan Marian Tiplic;ioan marian tiplic
Viorica Rosca;viorica rosca
David C. Korten;david c korten
Toma Ritner;toma ritner
Vermesy Peter;vermesy peter
Aura Christi;aura christi
A.P. Nazaretean;ap nazaretean
Eduard Kirshbaum, Alina Eremeeva;eduard kirshbaum alina eremeeva
Lev Kruglyak;lev kruglyak
Dorin Spineanu;dorin spineanu
Malina Voicu;malina voicu
Mircea Oprita;mircea oprita
Gh. F. Ciausanu;gh f ciausanu
Michel Musolino;michel musolino
Vavila Popovici;vavila popovici
Daniela Firoiu;daniela firoiu
Jerome Meizoz;jerome meizoz
Ion Agarbiceanu;ion agarbiceanu
F. A. Kummer;f a kummer
Aureliu Busuioc;aureliu busuioc
Vasile Romanciuc;vasile romanciuc
Ion Mircea Enescu;ion mircea enescu
Cosmin Caciuc;cosmin caciuc
Georg Klein;georg klein
Alois Ghergut;alois ghergut
Florin Andreescu;florin andreescu
Nigel Spivey, Michael Squire;nigel spivey michael squire
Dave Lakhani;dave lakhani
Merry Aronson, Carol Ames, Don Spetner;merry aronson carol ames don spetner
Johannes Holey;johannes holey
Romolo Mantovani;romolo mantovani
Gabriela Sauciuc;gabriela sauciuc
Constantin Toiu;constantin toiu
Hans Magnus Enzesberger;hans magnus enzesberger
Antonio Rosmini;antonio rosmini
Dumitru Tucan;dumitru tucan
John Norris Wood, Kevin Dean;john norris wood kevin dean
RaţIu Iuliu;ratiu iuliu
Max Seydlitz;max seydlitz
Carmen-Gabriela Pamfil;carmengabriela pamfil
Stefan Delureanu;stefan delureanu
Nicolae Stoie;nicolae stoie
Francois-Xavier Gauroy;francoisxavier gauroy
Sidney Pike;sidney pike
Dinev Dimitre;dinev dimitre
Munoz Guerrero Francisco;munoz guerrero francisco
Marianne Koch;marianne koch
Miranda Smith;miranda smith
Eugen Noveanu;eugen noveanu
Jamie Oliver;jamie oliver
Paul Tillich;paul tillich
Magdalena Catranji, Otilia Bors;magdalena catranji otilia bors
Benoit Delalandre;benoit delalandre
Carmen Firan;carmen firan
Florea Firan, Constantin M. Popa;florea firan constantin m popa
Lelia Zamani;lelia zamani
Roxana Turcanu;roxana turcanu
Eugen Jianu;eugen jianu
Ignatie Briancianinov;ignatie briancianinov
Preot Gheorghe Nicolae;preot gheorghe nicolae
Grigorie Dascalul;grigorie dascalul
Corina-Elena Preda;corinaelena preda
Corneliu Nastase;corneliu nastase
Maria-Ioana Vasiloiu;mariaioana vasiloiu
Viorica Babov;viorica babov
Valeriu Stancu;valeriu stancu
Jane Austen;jane austen
Liliana Pop;liliana pop
Tudorel Urian;tudorel urian
Leil Lowndes;leil lowndes
Camelia Stan, Dragos Stan;camelia stan dragos stan
Alexandr Soljenitin;alexandr soljenitin
Alina Paraschiva, Silviu Danet;alina paraschiva silviu danet
Nathaniel Branden;nathaniel branden
Irvin D. Yalom;irvin d yalom
Lucian Blaga;lucian blaga
Virgil Gheorghiu;virgil gheorghiu
Dumitru Constantin Dulcan;dumitru constantin dulcan
Daniela Oprean;daniela oprean
Kawabata Yasunari;kawabata yasunari
Ruediger Dahlke;ruediger dahlke
Stefan Winkelmeyr;stefan winkelmeyr
Deek Yang;deek yang
Ealter Meyer-Bohe;ealter meyerbohe
V.F. Beliavskaia;vf beliavskaia
Georgios Kordis;georgios kordis
Donald J. Trump, Robert T. Kiyosaki;donald j trump robert t kiyosaki
Ala Bujor, Vadim Rusu;ala bujor vadim rusu
Christine Craggs-Hinton;christine craggshinton
Ion T. Radu;ion t radu
Yamamoto Tsunetomo;yamamoto tsunetomo
Dan Chiriac, Violeta Borzea, Daniela Chiriac;dan chiriac violeta borzea daniela chiriac
Angelica Hobjila;angelica hobjila
Gerald G. Jampolsky;gerald g jampolsky
Robert Imbriale;robert imbriale
Sfantul Ignatie Briancianinov;sfantul ignatie briancianinov
Anton Pann;anton pann
Adrian Goldsworthy;adrian goldsworthy
Teofan Zavoratul;teofan zavoratul
Lobsang Rampa;lobsang rampa
Adrian Dragnea;adrian dragnea
Vadim Rusu, Ala Bujor;vadim rusu ala bujor
Sandra L. Wheatley;sandra l wheatley
David Cohen;david cohen
Jean-Luc Bizien;jeanluc bizien
Pascale Roze;pascale roze
Teofilact Marinakis;teofilact marinakis
Ion Budai-deleanu;ion budaideleanu
Mihai Stroe;mihai stroe
Viorica Preda, Silvia Borteanu;viorica preda silvia borteanu
Yvan Thery;yvan thery
Andrei C. Miu;andrei c miu
Georgeta Burtea, Marius Burtea;georgeta burtea marius burtea
Chogyam Trungpa;chogyam trungpa
L. Macovei, St. Suteanu;l macovei st suteanu
Pierre-Thomas-Nicolas Hurtaut;pierrethomasnicolas hurtaut
Stieg Larsson;stieg larsson
Gabriela C. Cristea;gabriela c cristea
Zahi Hawass;zahi hawass
Alan Dyer;alan dyer
Olivia Cimpean, Istina Mirescu;olivia cimpean istina mirescu
Tatiana Mosteanu;tatiana mosteanu
Proclu Nicau;proclu nicau
Teresa Cheung;teresa cheung
Robert Anton Wilson, Robert Shea;robert anton wilson robert shea
Aquila;aquila
Ana Maria Grigoras;ana maria grigoras
Charles Perrault;charles perrault
John Marler Si Andrew Vermuth;john marler si andrew vermuth
Nicolae Ilinca;nicolae ilinca
Emil Brumaru;emil brumaru
